차가,60,177
마사,44,179
나바,84,175
하마,53,159
가자,41,169
타다,63,168
차사,43,148
파다,57,179
자차,44,154
마나,56,151
차자,51,182
바라,71,164
라카,93,175
나라,65,178
파바,40,178
라하,74,147
카나,58,148
하하,69,165
다카,87,176
가카,98,179
카마,99,157
파바,75,175
차가,66,183
자가,92,143
나자,69,166
아다,88,161
아가,48,176
사파,57,189
사바,46,161
아마,72,161
차가,94,143
라카,72,180
차나,67,174
타나,61,143
아파,99,175
자타,43,177
하사,45,167
아라,91,171
파타,57,165
파가,43,182
하사,78,145
다라,62,155
차파,95,145
마라,94,164
다하,78,173
파바,71,188
하나,79,167
가나,67,179
타라,85,154
라마,72,189
가아,43,166
나사,45,159
자마,67,184
바가,66,188
사나,89,183
가가,76,143
바바,54,156
카나,74,145
가바,46,153
아라,66,182
타가,58,157
다다,91,180
파가,72,141
타파,85,167
파하,60,143
차하,87,183
타나,93,182
하타,91,173
카가,82,188
라타,85,157
가바,75,148
아카,74,141
하가,73,174
차하,70,173
바마,55,178
차마,68,142
카라,87,153
다다,50,151
아카,92,188
아바,90,179
자카,67,151
아하,82,179
라마,87,173
파사,77,179
마차,58,143
자다,46,180
타가,95,154
자다,56,157
카바,97,153
하다,53,149
타카,44,165
다나,51,165
가카,81,163
아자,73,189
파바,78,146
파나,89,177
파가,73,154
바다,85,164
자카,85,155
가마,51,154
마가,42,149
카나,54,142
카가,52,156
아가,63,142
라마,73,182
차카,97,164
아다,59,144
사사,45,173
다자,85,158
아사,84,177
가마,58,140
나아,53,150
다아,77,156
사자,60,140
차아,93,163
차라,72,167
타아,62,161
하마,65,143
다나,59,140
다아,81,172
바다,78,145
자파,63,176
아나,66,154
카나,90,165
자자,78,150
다차,85,184
사라,99,181
파자,79,163
가사,81,173
타가,85,168
마차,99,157
사파,91,176
파아,49,168
마라,62,172
나자,64,151
자라,85,188
차다,45,142
라다,60,188
라마,95,188
자아,71,183
차파,70,179
하자,40,156
차카,88,153
가바,93,176
다나,79,186
파자,70,182
타자,70,142
자타,84,176
하아,63,164
가마,64,169
가하,92,180
가라,77,179
카가,62,180
마아,50,171
다자,92,168
라라,68,179
타타,82,169
카하,80,154
사카,46,147
나차,80,175
마차,76,164
하차,53,147
사나,68,162
나마,89,146
차차,57,153
라가,85,165
라가,66,148
나타,82,174
자하,79,161
자자,80,176
가가,41,173
카차,53,159
자자,84,148
마다,64,161
타사,91,149
차타,84,187
다아,54,181
바자,44,172
자라,61,142
타바,77,184
차마,55,153
라타,81,142
자가,76,159
카바,89,150
다자,71,157
마마,62,165
하자,42,145
사파,60,179
자파,85,166
바바,90,170
다가,78,185
하사,59,142
라파,96,166
가다,77,171
다차,69,178
나타,89,178
마카,77,167
카다,83,184
아마,42,162
라사,63,150
라가,53,147
하아,86,185
카차,73,169
마하,75,151
파자,80,155
아타,42,168
라하,70,188
바라,44,175
카자,82,164
라가,62,141
마파,82,187
가차,89,157
마가,42,142
사아,75,156
아가,86,184
가차,64,159
다라,95,146
아라,71,144
아타,87,182
아나,77,148
사하,67,178
자차,56,163
파아,47,185
가가,90,167
가카,88,174
카차,89,173
아바,80,140
아마,91,140
차마,40,141
가라,58,151
가바,92,153
아타,61,146
파파,63,156
가다,73,144
타가,95,182
카사,62,151
다자,97,152
아타,67,171
마마,65,178
타자,44,160
마자,45,180
마바,80,158
다파,47,184
파라,47,175
가다,97,177
파마,71,177
파카,61,152
자카,97,187
나파,44,166
카파,46,175
차파,70,182
마하,58,182
타마,50,163
차타,54,157
카카,65,148
자다,62,163
아아,99,155
아바,59,143
바라,75,182
하다,59,166
사다,80,173
라자,91,183
마타,93,187
사아,87,157
파바,91,149
라다,50,146
다카,47,174
다마,57,155
사나,92,178
자타,48,160
다타,52,183
파파,42,157
사바,51,159
파카,62,176
다카,70,142
바아,92,173
다바,61,159
타바,47,163
바마,68,147
사마,58,187
하파,81,177
파자,42,144
라파,82,184
바마,84,168
바카,49,177
하가,79,189
다바,98,158
다타,95,141
카하,43,172
사타,46,184
차자,66,175
자자,47,143
자타,89,181
하자,95,163
마카,89,180
타카,77,141
차바,51,172
마라,98,142
타타,48,183
라나,74,180
라바,95,142
자나,40,169
나다,73,187
다마,52,188
차가,57,153
아바,68,181
차자,64,147
바나,69,185
파자,50,155
아타,78,149
차사,99,179
나하,78,179
카차,88,172
가나,79,163
바사,56,173
아아,62,143
아아,92,143
파파,98,146
하하,52,157
마차,95,142
하마,76,155
차마,97,179
바파,95,150
나하,78,170
다사,69,168
가카,50,156
파다,93,187
다카,73,159
가다,51,164
차다,60,160
차나,76,166
가아,99,147
나라,72,189
아나,64,153
나바,65,152
가차,87,164
사바,63,164
가파,90,141
라다,83,187
자타,92,166
차카,99,142
나카,75,148
카바,63,166
하차,73,185
타나,41,172
파다,68,188
카타,92,159
나바,75,157
라마,55,152
타타,58,162
마차,76,161
카타,88,172
파하,58,175
사하,55,174
나카,76,166
나다,92,187
자라,65,154
라카,58,181
하마,53,174
타마,49,141
가차,72,147
나다,63,173
가아,70,152
나아,91,158
마다,73,172
나나,53,170
마나,81,179
카가,85,155
타바,66,183
나타,50,162
하가,82,182
라다,74,176
마파,42,158
나카,46,177
나하,72,162
나자,58,167
다하,57,153
카마,63,143
차타,62,174
바타,84,186
가카,93,161
카라,96,160
아카,95,180
타사,52,175
파바,42,156
나아,96,151
차아,58,169
사타,57,167
차가,97,166
자차,78,172
라타,78,169
자카,62,189
하나,87,146
사바,53,165
다타,44,146
아차,60,160
마가,43,140
나타,65,181
바카,63,156
아자,45,163
가바,52,152
아하,65,186
자나,51,188
마바,66,158
아아,56,169
가마,81,148
가카,99,152
마자,90,156
하바,84,186
파카,79,175
다다,99,152
다가,66,171
가차,47,170
다차,72,148
자라,81,151
바사,55,174
가아,90,167
하자,67,176
나자,51,180
하라,68,176
다사,87,154
차나,54,148
차아,83,158
카가,65,182
파다,55,186
마사,89,168
타파,60,152
마타,90,183
바가,48,172
차자,94,161
하다,56,176
나타,54,156
나차,40,147
다사,64,140
차파,80,170
차나,52,166
라카,57,187
라라,76,183
마자,55,152
파사,73,186
하아,96,157
바가,94,170
차가,58,179
파나,98,148
바카,86,176
다가,51,177
다차,48,169
아마,63,148
가타,71,183
라하,67,158
아하,63,186
다차,85,143
바자,89,165
사마,79,164
가파,63,141
다라,44,146
카가,65,141
다사,54,189
나나,57,184
라가,74,155
카자,51,173
나다,53,150
가차,99,158
사사,52,169
나아,95,153
나다,81,177
아자,40,165
카사,40,150
마나,76,177
카자,93,179
파타,75,167
자라,68,158
파자,89,184
라바,95,187
아라,65,187
파사,46,183
다가,60,188
사바,67,143
다바,44,143
카하,88,169
나타,92,151
차자,82,153
하라,99,165
사사,63,186
카마,81,176
사사,40,165
사나,83,179
차파,93,151
타차,46,185
라자,82,148
파아,79,142
파바,55,143
카하,93,140
바라,99,164
마카,41,183
바마,71,186
카차,62,187
사나,91,155
라타,60,169
아카,54,168
바사,70,166
라가,69,154
가바,81,179
마파,52,180
자라,88,187
타라,86,163
나라,78,151
하바,44,186
마가,86,148
자카,63,149
사타,94,144
마가,43,163
나다,62,185
차카,74,183
카자,64,159
카차,78,177
차마,73,159
라차,78,151
가하,62,167
마가,98,170
차카,96,154
타마,67,154
타차,51,166
파아,78,160
타자,45,146
아카,49,167
라하,81,159
하아,46,144
자라,93,146
바다,93,154
라파,99,163
다카,85,167
카나,75,158
마차,95,178
하파,86,189
다나,84,183
다자,78,168
나라,58,147
가라,60,182
하나,67,177
사차,41,150
가마,62,177
타하,54,150
라바,97,160
카타,86,155
나하,81,172
라라,68,189
마하,82,166
차아,95,177
나바,69,150
하하,90,161
자타,67,165
차가,79,160
차하,61,179
하아,93,169
라하,75,155
타파,77,166
하차,60,144
나카,73,154
타사,96,180
자하,83,164
타나,57,144
타타,90,184
아마,63,181
가바,80,144
타아,79,164
자라,41,175
하카,48,140
차파,56,185
파마,71,141
하카,88,141
라하,84,161
나라,47,178
차나,90,165
라카,67,144
타바,58,145
아다,63,186
가가,61,175
사다,69,168
마아,48,166
아라,73,141
자파,58,148
파가,76,180
가차,44,180
바하,69,162
자가,97,177
다가,61,149
가타,83,162
차파,50,164
다가,93,169
차라,68,164
하가,90,143
자파,73,158
바아,58,151
사아,82,167
나바,77,184
카마,59,158
아사,57,178
아가,64,177
사파,52,142
나나,82,164
카타,53,167
하차,63,160
마다,56,145
다마,85,144
라바,41,173
자라,84,185
타바,64,184
타파,41,168
가아,83,140
다나,85,164
아자,70,161
카아,42,160
가자,47,164
카아,87,186
바카,87,147
가가,67,141
라차,64,147
가타,62,176
나차,57,171
다타,43,155
하카,83,184
타카,43,179
바파,64,184
가하,54,151
다마,47,144
라타,98,181
하타,46,152
마아,60,171
하아,94,144
아파,82,189
타파,62,189
사라,88,155
타사,57,165
바라,99,170
가타,76,157
카아,80,146
차라,74,177
차타,92,157
마가,40,146
나카,57,152
아다,43,154
바하,97,164
나타,82,179
바카,58,170
아라,80,168
하사,91,143
카가,84,178
타차,57,157
라다,87,181
하다,59,165
다다,41,184
가자,89,173
라하,40,162
가카,75,166
자마,52,152
타사,85,168
사파,55,143
나타,97,160
파파,91,168
하나,40,187
파하,80,149
가사,70,143
마라,61,140
나마,50,144
파파,68,154
라카,54,144
자라,75,177
라마,60,187
하차,58,170
가카,65,157
파아,61,150
가아,46,162
라차,50,178
라마,86,186
아가,64,153
아마,42,148
다파,77,167
라다,44,180
타하,67,181
바차,47,147
바마,82,179
하카,46,162
바나,66,166
사다,46,163
하마,55,165
나아,47,161
카바,98,165
자타,57,162
카다,92,169
나차,81,169
라타,57,153
바차,55,186
사마,74,188
마차,75,173
아파,50,178
타다,41,168
사타,64,185
사사,58,172
하자,87,165
가차,41,174
하자,67,155
사하,43,163
차카,97,164
아가,42,182
마아,53,153
바카,99,182
가자,68,189
라하,75,182
카자,59,187
